bauxite (kg),aluminium oxide (kg),carbon (kg),aluminium fluoride (g),cryolite (g),electrical energy (kWh),aluminium (kg)
4,1.93,0.4,20,50,14,1
8,3.86,0.8,40,100,28,2
12,5.79,1.2000000000000002,60,150,42,3
16,7.72,1.6,80,200,56,4
20,9.65,2.0,100,250,70,5
24,11.58,2.4,120,300,84,6
28,13.51,2.8,140,350,98,7
32,15.44,3.1999999999999997,160,400,112,8
36,17.37,3.5999999999999996,180,450,126,9
40,19.3,3.9999999999999996,200,500,140,10
80,38.6,7.999999999999999,400,1000,280,20
120,57.900000000000006,11.999999999999998,600,1500,420,30
160,77.2,15.999999999999998,800,2000,560,40
200,96.5,19.999999999999996,1000,2500,700,50
240,115.80000000000001,23.999999999999996,1200,3000,840,60
280,135.1,27.999999999999996,1400,3500,980,70
320,154.4,31.999999999999996,1600,4000,1120,80
360,173.70000000000002,35.99999999999999,1800,4500,1260,90
400,193.0,39.99999999999999,2000,5000,1400,100
800,386.0,79.99999999999999,4000,10000,2800,200
1200,579.0,119.99999999999997,6000,15000,4200,300
1600,772.0,159.99999999999997,8000,20000,5600,400
2000,965.0,199.99999999999997,10000,25000,7000,500
2400,1158.0,239.99999999999994,12000,30000,8400,600
2800,1351.0,279.99999999999994,14000,35000,9800,700
3200,1544.0,319.99999999999994,16000,40000,11200,800
3600,1737.0,359.99999999999994,18000,45000,12600,900
4000,1930.0,399.99999999999994,20000,50000,14000,1000
8000,3860.0,799.9999999999999,40000,100000,28000,2000
12000,5790.0,1199.9999999999998,60000,150000,42000,3000
16000,7720.0,1599.9999999999998,80000,200000,56000,4000
20000,9650.0,1999.9999999999998,100000,250000,70000,5000
24000,11580.0,2399.9999999999995,120000,300000,84000,6000
28000,13510.0,2799.9999999999995,140000,350000,98000,7000
32000,15440.0,3199.9999999999995,160000,400000,112000,8000
36000,17370.0,3599.9999999999995,180000,450000,126000,9000
40000,19300.0,3999.9999999999995,200000,500000,140000,10000
